Vuln_ID,Brand,ProdType,Category,Price USD,YDif,Protocols,TCPIP,GATT,RF,MTP,DSP,RS232,CCX,APDU,DataStorage,PersonalInfo,Location,Auth-Encryption,CommCap,LTE,DSL,HSPA,GSM,Cellular,BLE,Bluetooth,ISM,LPN,Z-Wave,Lutron,Kidde,NFC,ZigBee,USB,MicroSD,SD Card,e-SATA,CF Card,Smart Card,Serial,UART,Coaxial,Console,Fiber,WiFi,Ethernet,CD/DVD,RFID,Infrared,CVSS,CVSS1,CVSS2,CVSS3,CVSS4,CVSS5
CVE-2018-12575,TP-Link,WiFi Router,Telecomm,19,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12576,TP-Link,WiFi Router,Telecomm,19,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,4.3,1,1,1,1,2
CVE-2018-12577,TP-Link,WiFi Router,Telecomm,19,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-12666,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12667,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12668,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12669,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-12670,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12671,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-12672,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,5.4,1,1,1,1,2
CVE-2018-12673,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2018-12674,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,5.7,2,2,2,1,2
CVE-2018-12675,SV3C,IP Camera,Smart Home,56,0,TCPIP,TCPIP,,,,,,,,Local,No,No,None,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-12710,D-Link,WiFi Router,Telecomm,40,7,"TCPIP, PPTP",TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,8,3,4,3,3,3
CVE-2018-13134,TP-Link,WiFi Router,Telecomm,102,2,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-13306,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-13307,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-13308,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-13309,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-13310,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-13311,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-13312,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-13313,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.5,2,3,2,2,2
CVE-2018-13314,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-13315,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-13316,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2018-13317,TOTOLINK,WiFi Router,Telecomm,38,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
